State,Class I,Regional,Linehaul,Switching and terminal,Canadian1,Total
Alabama,4,1,15,4,0,24
Alaska,0,1,0,0,0,1
Arizona,2,0,5,3,0,10
Arkansas,3,0,17,5,0,25
California,2,0,15,8,0,25
Colorado,2,3,7,3,0,15
Connecticut,1,3,4,0,0,8
Delaware,2,0,1,3,0,6
District of Columbia,2,0,0,1,0,3
Florida,2,2,9,1,0,14
Georgia,2,0,20,1,0,23
Hawaii,0,0,0,0,0,0
Idaho,2,1,7,2,0,12
Illinois,7,3,13,18,0,41
Indiana,5,1,22,14,0,42
Iowa,5,1,6,3,0,15
Kansas,4,3,5,2,0,14
Kentucky,5,1,7,0,0,13
Louisiana,6,0,8,3,0,17
Maine,0,2,4,1,0,7
Maryland,2,1,4,2,0,9
Massachusetts,1,3,4,3,0,11
Michigan,4,0,14,7,1,26
Minnesota,4,1,9,3,1,18
Mississippi,5,1,17,4,0,27
Missouri,6,0,4,7,0,17
Montana,2,2,4,0,0,8
Nebraska,3,1,4,3,0,11
Nevada,2,0,0,0,0,2
New Hampshire,0,2,7,0,0,9
New Jersey,3,1,7,7,0,18
New Mexico,2,0,2,1,0,5
New York,3,4,22,7,1,37
North Carolina,2,0,13,7,0,22
North Dakota,2,2,4,0,0,8
Ohio,4,1,14,16,0,35
Oklahoma,3,0,12,4,0,19
Oregon,2,1,10,4,0,17
Pennsylvania,4,3,27,21,0,55
Rhode Island,0,1,0,0,0,1
South Carolina,2,0,8,4,0,14
South Dakota,2,1,4,2,0,9
Tennessee,6,0,14,5,0,25
Texas,3,0,22,22,0,47
Utah,2,0,3,3,0,8
Vermont,0,3,5,0,0,8
Virginia,2,0,6,1,0,9
Washington,2,1,14,6,0,23
West Virginia,2,1,5,1,0,9
Wisconsin,4,1,3,0,0,8
Wyoming,3,0,0,1,0,4
"United States, total",7,21,343,194,1,566
