Rank,State,Freight Rail Average Wages & Benefits Per Employee
1,Florida,"$150,300"
2,Texas,"$146,200"
3,Arizona,"$143,050"
4,Georgia,"$143,050"
5,Nevada,"$141,660"
6,Virginia,"$141,490"
7,North Dakota,"$139,470"
8,Nebraska,"$138,960"
9,New Mexico,"$138,850"
10,Washington,"$138,420"
11,Colorado,"$137,320"
12,California,"$136,840"
13,Wyoming,"$136,770"
14,South Carolina,"$136,500"
15,Wisconsin,"$135,890"
16,Iowa,"$134,580"
17,Illinois,"$134,500"
18,Kansas,"$134,030"
19,Missouri,"$133,750"
20,Mississippi,"$133,200"
21,Tennessee,"$133,000"
22,Indiana,"$132,790"
23,Minnesota,"$132,590"
24,North Carolina,"$132,430"
25,Utah,"$131,520"
26,Alabama,"$131,300"
27,Montana,"$131,230"
28,South Dakota,"$129,640"
29,Maryland,"$128,920"
30,Kentucky,"$128,850"
31,Ohio,"$128,510"
32,Louisiana,"$127,630"
33,New York,"$127,510"
34,Idaho,"$126,290"
35,Oklahoma,"$126,220"
36,West Virginia,"$125,870"
37,Michigan,"$125,080"
38,Arkansas,"$123,690"
39,Oregon,"$122,140"
40,Pennsylvania,"$120,830"
41,New Jersey,"$119,780"
42,Delaware,"$119,090"
43,Rhode Island,"$118,270"
44,New Hampshire,"$112,280"
45,Massachusetts,"$111,830"
46,Maine,"$110,070"
47,Connecticut,"$107,060"
48,Alaska,"$105,420"
49,Vermont,"$86,750"
50,District of Columbia,n/a
51,Hawaii,n/a
