Rank,State,Freight Rail Employees
1,Texas,"14,664"
2,Illinois,"9,902"
3,Nebraska,"8,436"
4,California,"6,936"
5,Missouri,"5,740"
6,Georgia,"5,428"
7,Ohio,"5,036"
8,Indiana,"4,798"
9,Pennsylvania,"4,528"
10,Kansas,"4,296"
11,Minnesota,"3,750"
12,Washington,"3,619"
13,Florida,"3,577"
14,Tennessee,"2,816"
15,Montana,"2,772"
16,Virginia,"2,738"
17,Wisconsin,"2,732"
18,Iowa,"2,658"
19,Louisiana,"2,600"
20,Alabama,"2,561"
21,Kentucky,"2,457"
22,New York,"2,389"
23,Arizona,"2,389"
24,Michigan,"2,352"
25,Arkansas,"2,276"
26,Colorado,"1,814"
27,Oklahoma,"1,766"
28,Mississippi,"1,733"
29,North Carolina,"1,614"
30,Wyoming,"1,609"
31,West Virginia,"1,495"
32,North Dakota,"1,458"
33,New Mexico,"1,349"
34,Oregon,"1,337"
35,South Carolina,"1,237"
36,Idaho,"1,176"
37,Utah,"1,150"
38,New Jersey,887
39,Maryland,737
40,South Dakota,665
41,Alaska,609
42,Massachusetts,593
43,Nevada,514
44,Maine,466
45,Vermont,185
46,New Hampshire,169
47,Delaware,147
48,Connecticut,111
49,Rhode Island,28
50,District of Columbia,10
51,Hawaii,5
