Rank*,State,Originated Carloads
1,Illinois,"4,002,900"
2,California,"3,414,100"
3,Texas,"2,161,300"
4,Wyoming,"2,020,000"
5,Minnesota,"1,186,900"
6,Georgia,"1,138,900"
7,Ohio,"1,081,600"
8,Pennsylvania,"960,200"
9,Washington,"792,100"
10,New Jersey,"714,800"
11,Florida,"639,400"
12,Indiana,"632,400"
13,Virginia,"538,900"
14,Tennessee,"531,300"
15,Michigan,"525,700"
16,Iowa,"517,100"
17,West Virginia,"468,100"
18,Kansas,"458,600"
19,Missouri,"451,000"
20,Louisiana,"444,200"
21,Alabama,"416,400"
22,Nebraska,"377,800"
23,North Dakota,"375,500"
24,Kentucky,"366,400"
25,South Carolina,"355,000"
26,Montana,"302,700"
27,Oregon,"302,200"
28,Arkansas,"296,800"
29,North Carolina,"295,600"
30,Colorado,"264,100"
31,Utah,"258,500"
32,Wisconsin,"252,900"
33,Oklahoma,"211,900"
34,New York,"192,600"
35,South Dakota,"167,700"
36,Arizona,"133,900"
37,Massachusetts,"130,400"
38,New Mexico,"121,200"
39,Mississippi,"121,200"
40,Idaho,"92,700"
41,Maryland,"77,800"
42,Nevada,"38,500"
43,Maine,"23,400"
44,Connecticut,"14,400"
45,Vermont,"6,800"
46,Delaware,"4,700"
47,Dist. of Columbia,"2,300"
48,New Hampshire,"1,430"
49,Rhode Island,500
,Alaska,n/a
,Hawaii,0
