Rank*,State,Terminated Carloads
1,Illinois,"3,839,700"
2,California,"3,684,400"
3,Texas,"2,875,900"
4,Georgia,"1,308,400"
5,Washington,"1,215,800"
6,Pennsylvania,"1,074,900"
7,Ohio,"1,069,200"
8,Florida,"990,400"
9,Minnesota,"954,300"
10,Virginia,"871,600"
11,New Jersey,"766,200"
12,Missouri,"654,000"
13,Tennessee,"636,000"
14,Indiana,"594,800"
15,North Carolina,"546,500"
16,South Carolina,"527,300"
17,Michigan,"502,800"
18,Alabama,"430,000"
19,Oregon,"423,600"
20,Louisiana,"423,300"
21,Wisconsin,"416,600"
22,Colorado,"397,600"
23,Kansas,"368,500"
24,Maryland,"342,900"
25,Arkansas,"319,400"
26,Arizona,"301,000"
27,New York,"295,100"
28,Kentucky,"269,400"
29,Iowa,"257,300"
30,Utah,"241,300"
31,Massachusetts,"222,700"
32,Nebraska,"216,600"
33,Oklahoma,"186,500"
34,Mississippi,"144,400"
35,North Dakota,"127,900"
36,New Mexico,"107,400"
37,Idaho,"102,700"
38,Wyoming,"99,800"
39,Nevada,"79,300"
40,West Virginia,"77,300"
41,Montana,"44,500"
42,Delaware,"40,000"
43,South Dakota,"35,400"
44,Maine,"22,500"
45,Connecticut,"15,100"
46,Vermont,"12,400"
47,New Hampshire,"7,300"
48,Rhode Island,"6,500"
49,Dist. of Columbia,"1,400"
,Alaska,n/a
,,
,,
