Rank,State,Terminated Tons (millions)
1,Texas,181.9
2,Illinois,101.4
3,California,100.8
4,Minnesota,75.1
5,Washington,68.2
6,Ohio,60.9
7,Florida,57.2
8,Virginia,56.1
9,Georgia,54.1
10,Indiana,53.2
11,Missouri,50
12,Pennsylvania,49.5
13,Wisconsin,39.2
14,Alabama,38
15,North Carolina,37.5
16,Louisiana,37
17,Maryland,29.8
18,Michigan,28.7
19,South Carolina,27.1
20,Colorado,27
21,Tennessee,25
22,Iowa,24.5
23,New Jersey,22.6
24,Arkansas,22.4
25,Arizona,19.5
26,Nebraska,19.4
27,Kentucky,19.4
28,Kansas,18.2
29,Oklahoma,17.6
30,Oregon,17.2
31,New York,15.7
32,Mississippi,13.1
33,North Dakota,12.3
34,Utah,11.6
35,Wyoming,10.1
36,Idaho,9.7
37,Massachusetts,8.3
38,West Virginia,7.6
39,Nevada,5.4
40,New Mexico,5.2
41,Montana,3.5
42,South Dakota,3.4
43,Delaware,3
44,Alaska,2.5
45,Maine,1.9
46,Connecticut,1.4
47,Vermont,1
48,New Hampshire,0.6
49,Rhode Island,0.5
50,Dist. of Columbia,0.1
,Hawaii,0
