 Rank,State,Total Rail Miles
1,Texas,"10,370"
2,Illinois,"6,768"
3,Pennsylvania,"5,228"
4,Ohio,"5,139"
5,California,"4,948"
6,Kansas,"4,748"
7,Georgia,"4,538"
8,Minnesota,"4,373"
9,Indiana,"3,946"
10,Iowa,"3,827"
11,Missouri,"3,734"
12,Montana,"3,680"
13,Wisconsin,"3,482"
14,New York,"3,442"
15,Michigan,"3,429"
16,North Dakota,"3,223"
17,Oklahoma,"3,222"
18,Alabama,"3,165"
19,Nebraska,"3,138"
20,North Carolina,"3,125"
21,Virginia,"3,050"
22,Louisiana,"3,001"
23,Washington,"2,867"
24,Tennessee,"2,730"
25,Florida,"2,716"
26,Kentucky,"2,673"
27,Arkansas,"2,554"
28,Colorado,"2,545"
29,Mississippi,"2,541"
30,Oregon,"2,369"
31,South Carolina,"2,191"
32,West Virginia,"2,123"
33,South Dakota,"1,868"
34,Wyoming,"1,860"
35,New Mexico,"1,859"
36,Arizona,"1,724"
37,Idaho,"1,654"
38,Utah,"1,388"
39,Nevada,"1,193"
40,Maine,"1,116"
41,New Jersey,"1,087"
42,Massachusetts,868
43,Maryland,722
44,Vermont,607
45,Connecticut,571
46,Alaska,506
47,New Hampshire,369
48,Delaware,230
49,Rhode Island,143
50,Dist. of Columbia,17
,Hawaii,0
